TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_TimeSeriesTransformer
01/31/2019 12:50:00,1.2130188662035433,0.0,0.8756758960543167,-0.4026611225895345,0.26266933428214695,0.550873735902168,1.0319985422180689,0.6447042690300043,0.5496669009789907,0.6868062655982408,0.680784105690162,0.9007252355725317,-0.3358019259559394,1,1.0
01/31/2019 13:00:00,1.2042870040474292,0.0,0.8605118793557742,-0.42088629617335094,0.16673703829866784,0.550873735902168,1.0319985422180689,0.6447042690300043,0.5678281966565604,0.6820694130791622,0.6788841514284535,0.8814900380327066,-0.35291251375079685,1,1.0
01/31/2019 13:10:00,1.2217515150470584,0.0,0.8756758960543167,-0.4184569981151396,-1.0142266809413478,0.550873735902168,0.8225941578748305,0.6447042690300043,0.5678281966565604,0.685385724274314,0.6836356923121976,0.8814900380327066,-0.3506305050588454,1,1.0
01/31/2019 13:20:00,1.1963497215407604,0.0,0.8908399127528593,-0.42574644604612427,0.3073469842775626,0.550873735902168,1.0075056515131025,0.6447042690300043,0.5678281966565604,0.6531753045348523,0.6494167952331001,0.8814900380327066,-0.35747917228381926,1,1.0
01/31/2019 13:30:00,1.1963497215407604,0.0,0.8756758960543167,-0.41481149727147126,0.43997714643264063,0.550873735902168,1.0160789256782092,0.6447042690300043,0.5678281966565604,0.6323332244070163,0.6285052667938357,0.9007252355725317,-0.3472067705051071,1,1.0
01/31/2019 13:40:00,1.2042870040474292,0.0,0.8756758960543167,-0.42939155845070526,0.45307049104539326,0.5340481783590637,1.0075056515131025,0.6010361520991515,0.5678281966565604,0.6749636198687454,0.6731799102944,0.8814900380327066,-0.360905200995036,1,1.0
01/31/2019 13:50:00,1.1963497215407604,0.0,0.8908399127528593,-0.4245314085779306,-0.5014401702976446,0.550873735902168,0.8446367161999531,0.6010361520991515,0.5678281966565604,0.6602799979255635,0.6551210363671536,0.9007252355725317,-0.3563373598713918,1,1.0
01/31/2019 14:00:00,1.1963497215407604,0.0,0.8756758960543167,-0.43425170832348,0.6507888238272472,0.550873735902168,1.0809820765001794,0.6010361520991515,0.5678281966565604,0.6602799979255635,0.658923151863203,0.8814900380327066,-0.36547462033627265,1,1.0
01/31/2019 14:10:00,1.1876178466961382,0.0,0.8756758960543167,-0.43668256013804335,-0.20719547936211374,0.550873735902168,0.8813730828384957,0.6010361520991515,0.5678281966565604,0.6550700100644288,0.6522683818551356,0.8814900380327066,-0.36776065300838395,1,1.0
01/31/2019 14:20:00,1.2042870040474292,0.0,0.8756758960543167,-0.4221013336415446,0.3541424969386453,0.550873735902168,1.0013838332917495,0.6010361520991515,0.5678281966565604,0.6664384206321645,0.6617747028889058,0.9007252355725317,-0.35405403063038254,1,1.0
01/31/2019 14:30:00,1.2042870040474292,0.0,0.8756758960543167,-0.428177297860689,-0.8240579587594073,0.5340481783590637,0.9511757748562392,0.6010361520991515,0.5678281966565604,0.67922733704577,0.6750820715287389,0.8814900380327066,-0.35976382303679466,1,1.0
01/31/2019 14:40:00,1.1963497215407604,0.0,0.8908399127528593,-0.4184569981151396,0.9316298812671993,0.550873735902168,1.025875600432806,0.6665326042822024,0.5678281966565604,0.6408595234633029,0.6380115878276059,0.9007252355725317,-0.3506305050588454,1,1.0
01/31/2019 14:50:00,1.194762097551143,0.0,0.8908399127528593,-0.4050904206477458,-0.1795538173569522,0.550873735902168,0.9744430178438934,0.6665326042822024,0.5678281966565604,0.6479642168540121,0.6446652899456888,0.9199627461471723,-0.33808138040098673,1,1.0
01/31/2019 15:00:00,1.2217515150470584,0.0,0.8756758960543167,-0.4172411837687699,0.17191068229854328,0.550873735902168,0.9609724496108357,0.6665326042822024,0.5678281966565604,0.6773325960381386,0.6750820715287389,0.8814900380327066,-0.3494885537699579,1,1.0
01/31/2019 15:10:00,1.1963497215407604,0.0,0.8756758960543167,-0.4233171479879143,0.18766404887952348,0.550873735902168,0.9719938090279618,0.6665326042822024,0.5678281966565604,0.6598057627638019,0.6570209906288621,0.8814900380327066,-0.3551963759600227,1,1.0
01/31/2019 15:20:00,1.2130188662035433,0.0,0.8908399127528593,-0.39294082284398646,-0.6432035446782429,0.550873735902168,0.9413791001016425,0.6665326042822024,0.5678281966565604,0.6763841257146153,0.6712799560326915,0.9199627461471723,-0.32668511322697774,1,1.0
01/31/2019 15:30:00,1.2042870040474292,0.0,0.8756758960543167,-0.43060659591889894,-0.20753990002204462,0.5340481783590637,0.9768909425867853,0.6665326042822024,0.5678281966565604,0.6626489386169017,0.658923151863203,0.8814900380327066,-0.36204740780854927,1,1.0
01/31/2019 15:40:00,1.2114312549024324,0.0,0.8908399127528593,-0.42939155845070526,0.4218478132516385,0.550873735902168,1.0013838332917495,0.6447042690300043,0.5678281966565604,0.6531753045348523,0.6522683818551356,0.8814900380327066,-0.360905200995036,1,1.0
01/31/2019 15:50:00,1.1876178466961382,0.0,0.8908399127528593,-0.42939155845070526,-1.0398540039353796,0.550873735902168,0.9426025006911323,0.6447042690300043,0.5678281966565604,0.6503331930234052,0.645615783223368,0.9007252355725317,-0.360905200995036,1,1.0
01/31/2019 16:00:00,1.2138126718541002,0.0,0.8908399127528593,-0.40873553305232685,-0.7233565226469231,0.550873735902168,1.043019901635195,0.6447042690300043,0.5678281966565604,0.6778067957218432,0.6760314969164355,0.9007252355725317,-0.34150239144864175,1,1.0
01/31/2019 16:10:00,1.1955551292028068,0.0,0.8908399127528593,-0.41359607136418886,1.2542220003759128,0.550873735902168,1.0589395181750547,0.6447042690300043,0.5678281966565604,0.6673857911359802,0.6617747028889058,0.9007252355725317,-0.34606547924138953,1,1.0
01/31/2019 16:20:00,1.178885984540024,0.0,0.8908399127528593,-0.4160261463005762,0.02374266329566349,0.550873735902168,0.9389287677218009,0.6447042690300043,0.5678281966565604,0.6735431140228737,0.6703283592686972,0.9007252355725317,-0.3483474305774411,1,1.0
