TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_RNNTransformer
07/14/2020 18:20:00,-1.602610969038066,0.0,-1.4365533959836772,-1.4500401230531994,0.4114314154552407,-1.4466674671425306,-1.9817123772303231,-0.3814192154664556,-1.4072861852135807,-1.566030752186158,-1.562453464867134,-1.1722015328745423,-1.3579140897975024,0,1.0
07/14/2020 18:30:00,-1.5256117828686182,0.0,-1.4214903248968698,-1.4415344723367556,0.3769978118858565,-1.4466674671425306,-1.8114946919054689,-0.3814192154664556,-1.4253676371025914,-1.5224519218789616,-1.5187287806992575,-1.1722015328745423,-1.3492697827733657,0,0.0
07/14/2020 18:40:00,-1.5422817015302936,0.0,-1.376301221959533,-1.4670506476079095,-0.035216455652932695,-1.4634133158971312,-1.9376272605800757,-0.3814192154664556,-1.4253676371025914,-1.5162934991723607,-1.5120751141775073,-1.1913530274669177,-1.3752202711445884,0,0.0
07/14/2020 18:50:00,-1.5597454385310314,0.0,-1.4064273641331413,-1.4913525622890456,0.3925875716013439,-1.4634133158971312,-1.8702737773782638,-0.3814192154664556,-1.4253676371025914,-1.5096619056456506,-1.506371976529768,-1.2105043774946174,-1.3999872101709365,0,0.0
07/14/2020 19:00:00,-1.5772087821880698,0.0,-1.4064273641331413,-1.4852769865089892,0.1678560528424489,-1.4634133158971312,-1.9302785105683709,-0.3814192154664556,-1.4253676371025914,-1.5371355438221437,-1.5358382292388062,-1.1913530274669177,-1.3937906598213283,0,0.0
07/14/2020 19:10:00,-1.585940657032692,0.0,-1.4214903248968698,-1.5083630868437556,0.11682537901161949,-1.4969051407366611,-1.8849688697647238,-0.3814192154664556,-1.4434471617277371,-1.5442413370325605,-1.5424918957605576,-1.2296558720869968,-1.4173532265752549,0,0.0
07/14/2020 19:20:00,-1.5772087821880698,0.0,-1.4214903248968698,-1.4998582130054894,-0.04345490757270784,-1.4969051407366611,-1.9057867434273146,-0.3814192154664556,-1.4615265486911828,-1.5413992255211133,-1.5396403447348546,-1.2296558720869968,-1.4086675192830564,0,0.0
07/14/2020 19:30:00,-1.585940657032692,0.0,-1.4365533959836772,-1.5035029369709816,0.13831203790476657,-1.4969051407366611,-1.9596698189051982,-0.3814192154664556,-1.4615265486911828,-1.5494512894156391,-1.5491461318236326,-1.2296558720869968,-1.4123889797714761,0,0.0
07/14/2020 19:40:00,-1.5684773006871473,0.0,-1.4214903248968698,-1.4816318741044088,-0.3242099303678696,-1.4969051407366611,-1.9853849866357445,-0.3814192154664556,-1.4796038707290597,-1.55703021796811,-1.554849269471371,-1.2105043774946174,-1.390074478374401,0,0.0
07/14/2020 19:50:00,-1.5938791068819511,0.0,-1.4365533959836772,-1.5144378857456353,-0.09441675368770822,-1.5136492068665994,-1.9951829454633807,-0.3814192154664556,-1.4796038707290597,-1.5579775884719267,-1.5557997983453828,-1.2488051982092283,-1.4235609873603496,0,0.0
07/14/2020 20:00:00,-1.602610969038066,0.0,-1.4365533959836772,-1.519298424057498,-0.12390914783852279,-1.5136492068665994,-1.9706898942492848,-0.3159199016767904,-1.4796038707290597,-1.5683986285358447,-1.5653050514891695,-1.2488051982092283,-1.4285301931491394,0,0.0
07/14/2020 20:10:00,-1.5597454385310314,0.0,-1.4214903248968698,-1.4743420377343355,-0.0031500741786808515,-1.5303931456662012,-1.9731403871382582,-0.621570965733233,-1.4976833953542095,-1.5314513562773042,-1.5301350915910679,-1.2105043774946174,-1.3826459061066418,0,0.0
07/14/2020 20:20:00,-1.5772087821880698,0.0,-1.4365533959836772,-1.510792773341055,0.35495150468041803,-1.5136492068665994,-1.8482312190531414,-0.2940887048179781,-1.4796038707290597,-1.5281355772529757,-1.5244324878883209,-1.2488051982092283,-1.4198357126431822,0,0.0
07/14/2020 20:30:00,-1.5946725191888076,0.0,-1.4365533959836772,-1.5241589623693608,-0.05697870749018163,-1.5136492068665994,-1.8335361266666814,-0.2940887048179781,-1.4796038707290597,-1.5395044845134809,-1.538690349805834,-1.2679522112966484,-1.4335014308337215,0,0.0
07/14/2020 20:40:00,-1.5946725191888076,0.0,-1.4365533959836772,-1.5241589623693608,-0.2014021038389914,-1.5136492068665994,-1.975588311881148,-0.2940887048179781,-1.4796038707290597,-1.5494512894156391,-1.5472445401306167,-1.2488051982092283,-1.4335014308337215,0,0.0
07/14/2020 20:50:00,-1.5510135763749158,0.0,-1.4064273641331413,-1.4743420377343355,-0.42590118801656457,-1.5136492068665994,-1.867825852635372,-0.2940887048179781,-1.4796038707290597,-1.5243466274085382,-1.5234814250693167,-1.2105043774946174,-1.3826459061066418,0,0.0
07/14/2020 21:00:00,-1.585940657032692,0.0,-1.4365533959836772,-1.5095777358728613,-0.0007828520835484934,-1.4969051407366611,-1.9168081028444428,-0.2940887048179781,-1.4796038707290597,-1.5286092447658561,-1.5263329760950206,-1.2488051982092283,-1.4185942078581477,0,0.0
07/14/2020 21:10:00,-1.5946725191888076,0.0,-1.4365533959836772,-1.5132236251556184,-0.0784394149494939,-1.5136492068665994,-1.8923163357033865,-0.2940887048179781,-1.4796038707290597,-1.5494512894156391,-1.5462940112566048,-1.2296558720869968,-1.422319896359087,0,0.0
07/14/2020 21:20:00,-1.5772087821880698,0.0,-1.4365533959836772,-1.5095777358728613,-0.03283202662882304,-1.5136492068665994,-1.8763978427274393,-0.2940887048179781,-1.4796038707290597,-1.539030284829775,-1.5339371714907826,-1.2296558720869968,-1.4185942078581477,0,0.0
07/14/2020 21:30:00,-1.5772087821880698,0.0,-1.4214903248968698,-1.4925668228790625,-0.4258064088669008,-1.4969051407366611,-1.909460476396648,-0.2940887048179781,-1.4796038707290597,-1.5494512894156391,-1.5481956029496207,-1.2105043774946174,-1.4012260264924972,0,0.0
07/14/2020 21:40:00,-1.5772087821880698,0.0,-1.4365533959836772,-1.4998582130054894,0.330994382118371,-1.5136492068665994,-1.8482312190531414,-0.2940887048179781,-1.4796038707290597,-1.5466092133822469,-1.5453440163275842,-1.2296558720869968,-1.4086675192830564,0,0.0
07/14/2020 21:50:00,-1.5684773006871473,0.0,-1.4365533959836772,-1.4889217104744823,-0.17176330975164528,-1.5136492068665994,-1.9008884863045832,-0.2940887048179781,-1.4796038707290597,-1.539030284829775,-1.5358382292388062,-1.2296558720869968,-1.3975075780929076,0,0.0
07/14/2020 22:00:00,-1.585940657032692,0.0,-1.4516130470552195,-1.5144378857456353,-0.04088092024927056,-1.5136492068665994,-1.9168081028444428,-0.2940887048179781,-1.4796038707290597,-1.5494512894156391,-1.5472445401306167,-1.2296558720869968,-1.4235609873603496,0,0.0
07/14/2020 22:10:00,-1.585940657032692,0.0,-1.4516130470552195,-1.5022875110637,0.19451635573548742,-1.5136492068665994,-1.8580278938077357,-0.35958515700102917,-1.4976833953542095,-1.559399194137503,-1.5577002865520826,-1.2296558720869968,-1.4111478377016657,0,0.0
07/14/2020 22:20:00,-1.585940657032692,0.0,-1.4516130470552195,-1.510792773341055,0.29065541694725544,-1.5136492068665994,-1.9266047775990396,-0.35958515700102917,-1.4796038707290597,-1.5466092133822469,-1.5453440163275842,-1.2488051982092283,-1.4198357126431822,0,0.0
07/14/2020 22:30:00,-1.5684773006871473,0.0,-1.4214903248968698,-1.4816318741044088,-0.4178522943961171,-1.5136492068665994,-1.9143588940285112,-0.35958515700102917,-1.4796038707290597,-1.5300302827825523,-1.5282345677880356,-1.2105043774946174,-1.390074478374401,0,0.0
07/14/2020 22:40:00,-1.602610969038066,0.0,-1.4365533959836772,-1.4998582130054894,-0.5194318480469888,-1.4969051407366611,-1.9657916371265536,-0.35958515700102917,-1.4796038707290597,-1.5712407400472927,-1.5691071313888842,-1.2105043774946174,-1.4086675192830564,0,0.0
07/14/2020 22:50:00,-1.5692707256825102,0.0,-1.4516130470552195,-1.5047183628782634,0.05019620096041315,-1.5136492068665994,-1.8592537020341775,-0.35958515700102917,-1.4796038707290597,-1.5210303162133854,-1.522530896195305,-1.2488051982092283,-1.4136302483909362,0,0.0
